"Story","Title","Result","Date","Stability","Duration (s)"
"Tags test","This test will provide an error code of 400 when user tries to access an invalid resource","SUCCESS","2020-04-26T16:59:06.568+05:30[Asia/Calcutta]","0.0","7.86"
"Tags test","Provide a 405 status code when incorrect HTTP method is used to access a resource","SUCCESS","2020-04-26T16:59:15.42+05:30[Asia/Calcutta]","0.0","1.33"
"Tags test","This test will verify if a status code of 200 is returned for GET request","SUCCESS","2020-04-26T16:59:16.757+05:30[Asia/Calcutta]","0.0","0.73"
